entropy_loss  policy_gradient_loss  value_loss learning_rate
-1.4120358154177666  -0.004195497435284778  0.2316332616144791  0.0009998976
-1.407455950975418  -0.005202346635633149  0.06895257229916751  0.0009997952
-1.3939552038908005  -0.006323837774107233  0.009233200941525865  0.0009996928
-1.3620583415031433  -0.0051000165578443555  0.033863456617109475  0.0009995904
-1.3527931481599809  -0.0032123941229656337  0.01824853503203485  0.000999488
-1.3611187055706977  -0.005492686730576679  0.018868958007078617  0.0009993856
-1.358603435754776  -0.004063417320139706  0.01148271040583495  0.0009992832
-1.3424594119191169  -0.00328664623957593  0.004478842421667651  0.0009991808
-1.3205867439508439  -0.004940261848969385  0.03246247855713591  0.0009990784
-1.2960313364863396  -0.0035075946856522934  0.0075221326347673315  0.000998976
-1.2873766079545022  -0.0023498294060118495  0.0041424213333812075  0.0009988736000000002
-1.2755213275551796  -0.004612192575586959  0.003324977702504839  0.0009987712
-1.2583444222807885  -0.004965802578954026  0.04056288342690095  0.0009986688000000001
-1.2563411131501199  -0.004963576514273882  0.002878033255547052  0.0009985664
-1.2532856702804565  -0.005416555044939741  0.010122091857192572  0.0009984640000000001
-1.2403496876358986  -0.007808039255905896  0.0021414853192254666  0.0009983616
-1.2201977401971817  -0.0053764217824209485  0.001991139405799913  0.0009982592
-1.2050153210759162  -0.0027985389664536343  0.0021828943652508316  0.0009981567999999999
-1.2080806955695151  -0.004100806260248646  0.010866481644916349  0.0009980544
-1.2078990921378137  -0.002781557181151584  0.0031232537503456115  0.0009979519999999999
-1.1992634877562522  -0.0037926509627141058  0.004629990471585188  0.0009978496
-1.2026528880000114  -0.0028575165051734075  0.0014213596454283107  0.0009977472
-1.2085239559412002  -0.00787642442737706  0.004512288670957787  0.0009976448
-1.2154005885124206  -0.004853904992341995  0.00304618951449811  0.0009975424
-1.20367733836174  -0.00651070941821672  0.0017747978767147289  0.00099744
-1.1973446145653726  -0.006028905900893733  0.0012972940889085295  0.0009973376
-1.187566478550434  -0.005456384603166953  0.0021111053829372395  0.0009972352
-1.1748605519533157  -0.0007195304351625964  0.020101352414349093  0.0009971328
-1.1527384772896767  -0.005001811281545088  0.001500730406223738  0.0009970304
-1.141235077381134  -0.005980169121176005  0.00502001558925258  0.000996928
-1.1390323147177697  -0.0038418076001107693  0.0041962309718655885  0.0009968256
-1.1171974688768387  -0.00805519602727145  0.004152802037424408  0.0009967232
-1.1099792957305907  -0.005219344852957874  0.0029442404535075183  0.0009966208
-1.0965368464589118  -0.0022741225897334517  0.007505282649071887  0.0009965184
-1.09858278632164  -0.004685096410685219  0.0012778508086739749  0.000996416
-1.1105067685246468  -0.005115500395186245  0.0011744249366529402  0.0009963136
-1.1086489245295525  -0.00465562105528079  0.0026794405952387025  0.0009962112
-1.1163573533296585  -0.007321950810728594  0.001955080931111297  0.0009961088
-1.119859592616558  -0.0059674526215530935  0.0009594661101800739  0.0009960064
-1.129552148282528  -0.0026697647699620575  0.009382517883204855  0.000995904
-1.1602896183729172  -0.00470498984795995  0.0023906073045509403  0.0009958016
-1.1642722070217133  -0.004079044965328649  0.0009684420967460028  0.0009956992000000001
-1.156328198313713  -0.004800881783012301  0.0036647013708716258  0.0009955968
-1.139902150630951  -0.006032384838908911  0.002811937496153405  0.0009954944000000001
-1.1480719327926636  -0.00996511832345277  0.004639138406491839  0.000995392
-1.1982977569103241  -0.009093622089130804  0.002575058118236484  0.0009952896
