#{"t_start": 1677229232.784713, "env_id": null}
r,l,t
61.870918,91,3.210733
65.777754,95,3.763038
60.473576,95,4.316234
170.887271,96,4.882876
59.447635,103,5.472181
164.303445,96,6.034641
65.726427,105,6.635664
51.49282,84,7.139376
170.882561,93,7.692115
168.095756,97,8.259589
